vin,make,model,year,age,price,mileage,city,state,region,population,lat,lng
1FADP3K28FL350874,Ford,FocusHatchback,2015,5,11970,62572,League City,TX,South,104903,29.4874,-95.1087
2GNALDEK6H6119050,Chevrolet,EquinoxFWD,2017,3,27900,19918,Anniston,AL,South,75169,33.6713,-85.8136
1FTFX1EF8EKD24270,Ford,F-1504WD,2014,6,19480,129712,Springfield,MO,Midwest,287222,37.1943,-93.2915
3GTU2VECXEG146663,GMC,Sierra,2014,6,34600,50571,Knoxville,TN,South,585249,35.9692,-83.9496
1J8HR58258C195110,Jeep,Grand,2008,12,11999,94753,Burien,WA,West,51671,47.4762,-122.3393
JTHFF2C21C2526615,Lexus,IS,2012,8,24950,48585,Phoenix,AZ,West,4081849,33.5722,-112.0891
1FTEW1EF5FKD46713,Ford,F-1504WD,2015,5,37988,20980,Huntley,IL,Midwest,27207,42.16,-88.433
2GNALBEK5F1171901,Chevrolet,EquinoxFWD,2015,5,17996,24821,Aurora,MO,Midwest,8335,36.9674,-93.7183
5NPE34AF8FH052821,Hyundai,Sonata2.4L,2015,5,15974,43995,Arlington,TX,South,396394,32.6998,-97.1251
KNMAT2MV6FP512620,Nissan,RogueSV,2015,5,20500,15821,Kirkland,WA,West,88630,47.6997,-122.2041
3D7KS28C25G758704,Dodge,Ram,2005,15,25024,97297,Logan,UT,West,100774,41.74,-111.8419
3GCPKSE74DG171281,Chevrolet,Silverado,2013,7,24988,81748,Tyler,TX,South,141116,32.3184,-95.3065
2T2ZK1BA4FC164861,Lexus,RX,2015,5,32900,29613,Macon,GA,South,152663,32.8065,-83.6974
1N4AL3APXGC145022,Nissan,Altima2.5,2016,4,17547,9767,Sierra Vista,AZ,West,51571,31.563,-110.3153
5XYZKDAG3BG079469,Hyundai,Santa,2011,9,9855,119258,Doylestown,PA,Northeast,8315,40.3139,-75.128
2HGFB2F82EH542427,Honda,Civic,2014,6,12993,35861,Bedford,OH,Midwest,12627,41.3919,-81.5359
3VW4T7AJ6EM362523,Volkswagen,Jetta,2014,6,16700,27832,Ravenna,OH,Midwest,11461,41.1613,-81.2421
WMWMF7C51ATZ72431,MINI,Cooper,2010,10,12500,44471,Pittsburgh,PA,Northeast,1715297,40.4396,-79.9763
1FTEW1EF8FFA09493,Ford,F-1504WD,2015,5,33990,41102,Morehead,KY,South,8229,38.1906,-83.4466
WBA3D3C53EK153880,BMW,3,2014,6,20995,38244,San Jose,CA,West,1821899,37.3021,-121.8489
4T1BF1FK4EU821278,Toyota,CamrySE,2014,6,14591,47293,San Antonio,TX,South,2002530,29.4658,-98.5254
1FMCU03G39KC58780,Ford,EscapeFWD,2009,11,5500,132417,Bethlehem,PA,Northeast,75707,40.6266,-75.3679
1FTRF12215NB31135,Ford,F-1502WD,2005,15,7987,149321,Dunn,NC,South,15576,35.3113,-78.6129
3GCUKSEC1EG109631,Chevrolet,Silverado,2014,6,29973,93401,Kearney,MO,Midwest,8834,39.355,-94.3594
JTHBK1EG3A2413808,Lexus,ES,2010,10,15800,66968,Randallstown,MD,South,35438,39.3723,-76.8024
5XYZUDLA7DG114164,Hyundai,Santa,2013,7,17380,68108,Reno,NV,West,433271,39.5497,-119.8483
WBAVA33508KX88786,BMW,3,2008,12,7995,84915,Raleigh,NC,South,1018336,35.8324,-78.6438
1N4AL3AP1FC261580,Nissan,Altima2.5,2015,5,13881,48106,Vacaville,CA,West,100801,38.359,-121.968
4T1BF1FK2EU311348,Toyota,CamrySE,2014,6,13494,53221,Lubbock,TX,South,262505,33.5642,-101.8871
1FTSX21R99EB13068,Ford,Super,2009,11,18995,131400,Germantown,MD,South,91447,39.1755,-77.2643
WBANV13599C153988,BMW,5,2009,11,12495,96091,West Chicago,IL,Midwest,27182,41.896,-88.2252
2C4RC1CG8GR118875,Chrysler,Town,2016,4,22698,41820,Lincoln,NE,Midwest,285118,40.8088,-96.6796
1FTFW1ET5EKD74682,Ford,F-1504WD,2014,6,33889,35964,Surprise,AZ,West,134085,33.68,-112.4524
