make,model,model_year,model_age,drive,barrels08,city_mpg,hwy_mpg,combined_mpg,co2TailpipeGpm,cylinders,engine_displ,drive_type,fuelCost08,fuelType1
MINI,Clubman S,2008,10,Front-Wheel Drive,11.365862069,26,34,29,306.44827586,4,1.6,Front-Wheel Drive,1600,Premium Gasoline
MINI,Clubman S,2008,10,Front-Wheel Drive,12.207777778,23,32,27,329.14814815,4,1.6,Front-Wheel Drive,1750,Premium Gasoline
Jeep,Compass 2WD,2008,10,Front-Wheel Drive,14.330869565,21,25,23,386.39130435,4,2.4,Front-Wheel Drive,1700,Regular Gasoline
Jeep,Patriot 2WD,2008,10,Front-Wheel Drive,14.330869565,21,25,23,386.39130435,4,2.4,Front-Wheel Drive,1700,Regular Gasoline
smart,fortwo convertible,2008,10,Rear-Wheel Drive,9.1558333333,33,41,36,246.86111111,3,1,Rear-Wheel Drive,1300,Premium Gasoline
smart,fortwo coupe,2008,10,Rear-Wheel Drive,9.1558333333,33,41,36,246.86111111,3,1,Rear-Wheel Drive,1300,Premium Gasoline
Audi,S5,2008,10,4-Wheel or All-Wheel Drive,17.347894737,16,22,19,467.73684211,8,4.2,4-Wheel or All-Wheel Drive,2450,Premium Gasoline
BMW,128i,2008,10,Rear-Wheel Drive,15.695714286,18,28,21,423.19047619,6,3,Rear-Wheel Drive,2200,Premium Gasoline
BMW,128i,2008,10,Rear-Wheel Drive,14.982272727,19,28,22,403.95454545,6,3,Rear-Wheel Drive,2100,Premium Gasoline
BMW,128i Convertible,2008,10,Rear-Wheel Drive,15.695714286,18,28,21,423.19047619,6,3,Rear-Wheel Drive,2200,Premium Gasoline
